county,batch,page_type,url,external,notes,verify_status,http_status,final_url,audit_confidence,audit_reason,flag_for_review
Alachua,1,homepage,https://www.votealachua.gov,false,"SOE homepage via state directory — 'Alachua County' in page; 'Supervisor of Elections' in page; seat 'Gainesville' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",ok,200,,confident,"[plain] county name 'Alachua' in page; seat 'Gainesville' in page | homepage keywords: supervisor of elections, voter registration, early voting | title=""Alachua County Elections, FL | Official Website""",
Alachua,1,elections,https://www.votealachua.gov/258/Upcoming-Elections,false,"found via link ""Upcoming Elections"" score=45",ok,200,,confident,"[plain] county name 'Alachua' in page; seat 'Gainesville' in page | elections keywords: upcoming election, election information, election calendar, election | title=""Upcoming Elections | Alachua County Elections, FL""",
Alachua,1,polling,https://www.votealachua.gov/207/Precinct-Voting,false,"found via ""Where Do I Vote?"" score=14",ok,200,,confident,"[plain] county name 'Alachua' in page; seat 'Gainesville' in page | polling keywords: polling place, precinct finder, where do i vote, polling | title=""Precinct Voting | Alachua County Elections, FL""",
Alachua,1,early_voting,https://www.votealachua.gov/Calendar.aspx?EID=359,false,"found via ""2026 Primary Election Early Voting Dates"" score=13 [per-election URL — refresh each cycle]",ok,200,,confident,"[plain] county name 'Alachua' in page; seat 'Gainesville' in page | early_voting keywords: early voting | title=""Calendar • 2026 Primary Election Early Voting Dates""",
Alachua,1,results,https://www.votealachua.gov/263/Election-Results,false,"found via ""Election Results"" score=22",ok,200,,confident,"[plain] county name 'Alachua' in page; seat 'Gainesville' in page | results keywords: election result, unofficial result, canvass, election night | title=""Election Results | Alachua County Elections, FL""",
Baker,1,homepage,https://votebakerfl.gov,false,"SOE homepage via state directory — 'Baker County' in page; 'Supervisor of Elections' in page; seat 'Macclenny' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, early voting",ok,200,,confident,"[plain] county name 'Baker' in page; seat 'Macclenny' in page | homepage keywords: supervisor of elections, early voting, elections office | title=""Baker County Supervisor of Elections � Civic Template""",
Baker,1,elections,,false,"GAP: no distinct elections landing page — votebakerfl.gov publishes election info on the SOE homepage (checked nav, /elections/, /upcoming-elections/, /election-information/ all 404)",gap,,,gap,,
Baker,1,polling,https://votebakerfl.gov/precinct-finder/,false,"found via ""Where Do I Vote?"" score=20",ok,200,,confident,"[plain] county name 'Baker' in page; seat 'Macclenny' in page | polling keywords: polling place, precinct finder, where do i vote, polling | title=""Baker County Supervisor of Elections""",
Baker,1,early_voting,https://votebakerfl.gov/early-voting/,false,"found via ""Early Voting Dates & location"" score=25",ok,200,,confident,"[plain] county name 'Baker' in page; seat 'Macclenny' in page | early_voting keywords: early voting, early vote | title=""Baker County Supervisor of Elections""",
Baker,1,results,https://votebakerfl.gov/election-night-archive/,false,"found via ""Election Results Archive"" score=27",ok,200,,confident,"[plain] county name 'Baker' in page; seat 'Macclenny' in page | results keywords: election result, election night reporting, election night, results | title=""Baker County Supervisor of Elections""",
Bay,1,homepage,https://www.bayvotesfl.gov,false,"SOE homepage via state directory — 'Bay County' in page; 'Supervisor of Elections' in page; seat 'Panama City' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'Bay' in page; seat 'Panama City' in page | homepage keywords: supervisor of elections, vote by mail, early voting, elections office | title=""Bay County Supervisor of Elections | Nina Ward""",
Bay,1,elections,https://www.bayvotesfl.gov/elections/upcoming-elections/,false,"found via link ""All Upcoming Elections"" score=35",ok,200,,confident,"[plain] county name 'Bay' in page; seat 'Panama City' in page | elections keywords: upcoming election, sample ballot, election | title=""Upcoming Elections | Bay County Supervisor of Elections""",
Bay,1,polling,https://www.bayvotesfl.gov/voters/where-to-vote-in-person/,false,"found via ""Where to Vote in Person"" score=12",ok,200,,confident,"[plain] county name 'Bay' in page; seat 'Panama City' in page | polling keywords: polling place, where to vote, polling | title=""Where to Vote in Person | Bay County Supervisor of Elections""",
Bay,1,early_voting,https://www.bayvotesfl.gov/events/early-voting-primary-election/,false,"found via ""Aug 8, 2026 Early Voting Hours: 10AM-6PM"" score=25",ok,200,,confident,"[plain] county name 'Bay' in page; seat 'Panama City' in page | early_voting keywords: early voting, vote early | title=""Early Voting: Primary Election | Bay County Supervisor of Elections""",
Bay,1,results,https://www.bayvotesfl.gov/elections/election-results/,false,corrected: discovery picked a canvassing-board schedule announcement; this is the standing election-results page,ok,200,,confident,"[plain] county name 'Bay' in page; seat 'Panama City' in page | results keywords: election result, results | title=""Election Results | Bay County Supervisor of Elections""",
Bradford,1,homepage,https://www.votebradfordfl.gov,false,"SOE homepage via state directory — 'Bradford County' in page; 'Supervisor of Elections' in page; seat 'Starke' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'Bradford' in page; seat 'Starke' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Bradford County - Supervisor of Elections""",
Bradford,1,elections,https://www.votebradfordfl.gov/election/upcoming_elections.php,false,"found via link ""Upcoming Elections"" score=45",ok,200,,confident,"[plain] county name 'Bradford' in page; seat 'Starke' in page | elections keywords: upcoming election, election information, election date, sample ballot | title=""Bradford County - Supervisor of Elections""",
Bradford,1,polling,https://www.votebradfordfl.gov/voter/polling_locations.php,false,"found via ""Where do I vote?"" score=23",ok,200,,confident,"[plain] county name 'Bradford' in page; seat 'Starke' in page | polling keywords: polling place, where do i vote, polling | title=""Where do I vote?""",
Bradford,1,early_voting,https://www.votebradfordfl.gov/election/early_voting.php,false,"found via ""Early Voting"" score=12",ok,200,,confident,"[plain] county name 'Bradford' in page; seat 'Starke' in page | early_voting keywords: early voting | title=""Bradford County - Supervisor of Elections""",
Bradford,1,results,https://www.votebradfordfl.gov/election/election_results_archive.php,false,"found via ""Election Results Archive"" score=22",ok,200,,confident,"[plain] county name 'Bradford' in page; seat 'Starke' in page | results keywords: election result, canvass, election night, results | title=""Bradford County - Supervisor of Elections""",
Brevard,1,homepage,https://www.votebrevard.gov,false,"SOE homepage via state directory — 'Brevard County' in page; 'Supervisor of Elections' in page; seat 'Titusville' in page; SOE office city 'Melbourne' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",ok,200,,confident,"[plain] county name 'Brevard' in page; seat 'Titusville' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Brevard County Supervisor of Elections""",
Brevard,1,elections,https://www.votebrevard.gov/Election-Information/Current-Elections,false,"found via link ""Current Elections"" score=20",ok,200,,confident,"[plain] county name 'Brevard' in page; seat 'Titusville' in page | elections keywords: election information, sample ballot, election | title=""Brevard County Supervisor of Elections > Election Information > Curren""",
Brevard,1,polling,https://www.votebrevard.gov/News-and-Notices/Precinct-Polling-Place-Change-Notices,false,"found via ""Precinct & Polling Place Change Notices"" score=27",ok,200,,confident,"[plain] county name 'Brevard' in page; seat 'Titusville' in page | polling keywords: polling place, polling location, polling | title=""Brevard County Supervisor of Elections > News and Notices > Precinct &""",
Brevard,1,early_voting,https://www.votebrevard.gov/Election-Information/Early-Voting,false,"found via ""Find Early Voting locations and hours he"" score=27",ok,200,,confident,"[plain] county name 'Brevard' in page; seat 'Titusville' in page | early_voting keywords: early voting | title=""Brevard County Supervisor of Elections > Election Information > Early """,
Brevard,1,results,https://www.votebrevard.gov/Election-Information/Election-Results,false,"found via ""Election Results"" score=22",ok,200,,confident,"[plain] county name 'Brevard' in page; seat 'Titusville' in page | results keywords: election result, canvass, results | title=""Election Results""",
Broward,1,homepage,https://browardvotes.gov/,false,"SOE homepage via state directory — 'Broward County' in page; 'Supervisor of Elections' in page; seat 'Fort Lauderdale' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'Broward' in page; seat 'Fort Lauderdale' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Home | Broward County Supervisor of Elections""",
Broward,1,elections,https://browardvotes.gov/register-vote/when-register,false,"found via link ""Election Information"" score=21",ok,200,,confident,"[plain] county name 'Broward' in page; seat 'Fort Lauderdale' in page | elections keywords: election information, election date, sample ballot, election | title=""Election Information | Broward County Supervisor of Elections""",
Broward,1,polling,https://browardvotes.gov/voters/precinct-finder,false,"found via ""Find my Precinct"" score=24",ok,200,,confident,"[plain] county name 'Broward' in page; seat 'Fort Lauderdale' in page | polling keywords: polling location, precinct finder, polling | title=""Precinct Finder""",
Broward,1,early_voting,https://browardvotes.gov/august-election-early-voting-sitedropbox-locator,false,"found via ""Find Location"" score=13",ok,200,,confident,"[plain] county name 'Broward' in page; seat 'Fort Lauderdale' in page | early_voting keywords: early voting | title=""August Election Early Voting Site/Dropbox Locator | Broward County Sup""",
Broward,1,results,https://browardvotes.gov/results-information/election-results-information,false,"found via ""Election Results Information"" score=22",ok,200,,confident,"[plain] county name 'Broward' in page; seat 'Fort Lauderdale' in page | results keywords: election result, results | title=""Election Results Information | Broward County Supervisor of Elections""",
Calhoun,1,homepage,https://votecalhounfl.gov/,false,"SOE homepage via state directory — 'Calhoun County' in page; 'Supervisor of Elections' in page; seat 'Blountstown' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'Calhoun' in page; seat 'Blountstown' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Calhoun County – Supervisor of Elections – Sharon Chason""",
Calhoun,1,elections,https://votecalhounfl.gov/election-information/election-dates/,false,"found via link ""Election Dates"" score=26",ok,200,,confident,"[plain] county name 'Calhoun' in page; seat 'Blountstown' in page | elections keywords: election date, election | title=""Election Dates – Calhoun County – Supervisor of Elections""",
Calhoun,1,polling,https://votecalhounfl.gov/voter-information/polling-location/,false,"found via ""Where Do I Vote?"" score=23",ok,200,,confident,"[plain] county name 'Calhoun' in page; seat 'Blountstown' in page | polling keywords: polling place, polling location, polling | title=""Polling Location – Calhoun County – Supervisor of Elections""",
Calhoun,1,early_voting,https://votecalhounfl.gov/ways-to-vote/early-voting/,false,"found via ""Early Voting"" score=17",ok,200,,confident,"[plain] county name 'Calhoun' in page; seat 'Blountstown' in page | early_voting keywords: early voting, vote early | title=""Early Voting – Calhoun County – Supervisor of Elections""",
Calhoun,1,results,https://votecalhounfl.gov/election-information/election-results-archive/,false,"found via ""Election Results Archive"" score=22",ok,200,,confident,"[plain] county name 'Calhoun' in page; seat 'Blountstown' in page | results keywords: election result, canvass, results | title=""Election Results Archive – Calhoun County – Supervisor of Elections""",
Charlotte,1,homepage,https://www.soecharlottecountyfl.gov,false,"SOE homepage via state directory — 'Charlotte County' in page; 'Supervisor of Elections' in page; seat 'Punta Gorda' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",ok,200,,confident,"[plain] county name 'Charlotte' in page; seat 'Punta Gorda' in page | homepage keywords: supervisor of elections, voter registration, early voting | title=""Charlotte County Elections, FL | Official Website""",
Charlotte,1,elections,https://www.soecharlottecountyfl.gov/31/Election-Information,false,"found via link ""Election Information"" score=21",ok,200,,confident,"[plain] county name 'Charlotte' in page; seat 'Punta Gorda' in page | elections keywords: election information, election | title=""Election Information | Charlotte County Elections, FL""",
Charlotte,1,polling,,false,GAP: candidate is non-HTML (application/pdf) — out of scope,gap,,,gap,GAP: candidate is non-HTML (application/pdf) — out of scope,
Charlotte,1,early_voting,https://www.soecharlottecountyfl.gov/1315/Early-Voting-Locations,false,"found via ""Early Voting Locations"" score=27",ok,200,,confident,"[plain] county name 'Charlotte' in page; seat 'Punta Gorda' in page | early_voting keywords: early voting | title=""Early Voting Locations | Charlotte County Elections, FL""",
Charlotte,1,results,,false,GAP: no distinct page found (likely folded into elections page),gap,,,gap,GAP: no distinct page found (likely folded into elections page),
Citrus,1,homepage,https://www.votecitrus.gov,false,"SOE homepage via state directory — 'Citrus County' in page; 'Supervisor of Elections' in page; SOE office city 'Lecanto' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'Citrus' in page; SOE office city 'Lecanto' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Citrus County Elections, FL | Official Website""",
Citrus,1,elections,https://www.votecitrus.gov/171/Election-Information,false,"found via link ""Election Information"" score=21",ok,200,,confident,"[plain] county name 'Citrus' in page; SOE office city 'Lecanto' in page | elections keywords: election information, sample ballot, election | title=""Election Information | Citrus County Elections, FL""",
Citrus,1,polling,https://www.votecitrus.gov/229/Precinct-Locations,false,corrected: discovery fell back to a per-election hub; this is the standing precinct/polling locations page,ok,200,,confident,"[plain] county name 'Citrus' in page; seat 'Inverness' in page | polling keywords: polling location, precinct finder, where do i vote, polling | title=""Precinct Locations | Citrus County Elections, FL""",
Citrus,1,early_voting,https://www.votecitrus.gov/238/2026-Early-Voting-Sites-Schedule,false,"found via ""2026 Early Voting Sites & Schedule"" score=27",ok,200,,confident,"[plain] county name 'Citrus' in page; seat 'Inverness' in page | early_voting keywords: early voting, early vote | title=""2026 Early Voting Sites & Schedule | Citrus County Elections, FL""",
Citrus,1,results,https://www.votecitrus.gov/193/Election-Results-1992-to-2026,false,"found via ""Election Results 1992 to 2026"" score=22",ok,200,,confident,"[plain] county name 'Citrus' in page; seat 'Inverness' in page | results keywords: election result, results | title=""Election Results 1992 to 2026 | Citrus County Elections, FL""",
