county,what_happened,pages_changed,plain_english,categories,soe_site
Calhoun,Election-night page (old links 404),4 now 404,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Its early voting, elections, polling, results URLs now return 404, so a saved link breaks outright — which at least fails loudly.",—,https://votecalhounfl.gov/
Gadsden,Election-night page (old links 404),4 now 404,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Its early voting, elections, polling, results URLs now return 404, so a saved link breaks outright — which at least fails loudly.",—,https://votegadsdenfl.gov/
Lafayette,Election-night page (old links 404),3 now 404,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Its early voting, polling, results URLs now return 404, so a saved link breaks outright — which at least fails loudly.",—,https://lafayettevotes.net/
Liberty,Election-night page (old links 404),3 now 404,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Its elections, polling, results URLs now return 404, so a saved link breaks outright — which at least fails loudly.",—,https://libertycountyflsoe.gov
Walton,Election-night page (old links 404),3 now 404,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Its elections, polling, results URLs now return 404, so a saved link breaks outright — which at least fails loudly.",—,https://votewalton.gov/
Dixie,Election-night page (old links serve it),5 replaced,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Every old URL still returns HTTP 200 — but serves that same election-night page instead of the page requested, so a saved link silently gives you the wrong content.",—,https://dixievotes.gov/
Holmes,Election-night page (old links serve it),3 replaced,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Every old URL still returns HTTP 200 — but serves that same election-night page instead of the page requested, so a saved link silently gives you the wrong content.",—,https://holmeselectionsfl.gov/
Jackson,Election-night page (old links serve it),5 replaced,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Every old URL still returns HTTP 200 — but serves that same election-night page instead of the page requested, so a saved link silently gives you the wrong content.",—,https://votejacksonfl.gov/
Wakulla,Election-night page (old links serve it),4 replaced,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Every old URL still returns HTTP 200 — but serves that same election-night page instead of the page requested, so a saved link silently gives you the wrong content.",—,https://wakullavotes.gov/
Washington,Election-night page (old links serve it),5 replaced,"Swapped its site for a minimal static election-night page linking straight to results, turnout and precinct lookup. Every old URL still returns HTTP 200 — but serves that same election-night page instead of the page requested, so a saved link silently gives you the wrong content.",—,https://wcsoe.gov/
Alachua,Edited,2 of 5,"2 of 5 pages changed. It reported turnout, changed early-voting information and started pointing ahead to the November general.",Next-election pivot (2) · Date / countdown change (2) · Early voting (1) · Turnout / ballots cast (1),https://www.votealachua.gov
Baker,Edited,4 of 4,"4 of 4 pages changed, mostly publishing new material. It posted election results, reported turnout and updated registration figures.",Navigation / menu labels (50) · Sample ballot / candidates (26) · Early voting (18) · Election day / polling place (17) · Vote-by-mail / drop box (14) · Provisional / cure (9) · Results posted (9) · Turnout / ballots cast (8) · Date / countdown change (5) · Alert / notice banner (4) · Party / registration breakdown (2) · Next-election pivot (2) · Voter registration numbers (1) · Canvassing board (1),https://votebakerfl.gov
Bay,Edited,5 of 5,"5 of 5 pages changed. It posted election results, changed early-voting information and updated election-day and polling-place info.",Early voting (7) · Election day / polling place (5) · Results posted (5) · Date / countdown change (5) · Vote-by-mail / drop box (4) · Next-election pivot (2) · Alert / notice banner (1),https://www.bayvotesfl.gov
Brevard,Edited,5 of 5,"5 of 5 pages changed, mostly retiring material. It posted election results, changed early-voting information and updated election-day and polling-place info.",Election day / polling place (26) · Date / countdown change (25) · Provisional / cure (12) · Vote-by-mail / drop box (12) · Early voting (4) · Results posted (1) · Canvassing board (1),https://www.votebrevard.gov
Charlotte,Edited,1 of 3,"1 of 3 pages changed. It changed early-voting information, updated vote-by-mail and drop-box info and moved dates or countdowns.",Date / countdown change (2) · Vote-by-mail / drop box (1) · Early voting (1),https://www.soecharlottecountyfl.gov
Citrus,Edited,1 of 5,1 of 5 pages changed. It posted election results and moved dates or countdowns.,Results posted (2) · Date / countdown change (1),https://www.votecitrus.gov
Collier,Edited,2 of 4,"2 of 4 pages changed. It updated registration figures, changed early-voting information and updated election-day and polling-place info. Reported: ""Collier County, Fla. — August 14, 2026: Saturday, August 15, is the last day to vote early in the 2026 Primary""",Date / countdown change (12) · Election day / polling place (4) · Canvassing board (4) · Early voting (3) · Vote-by-mail / drop box (2) · Voter registration numbers (1) · Alert / notice banner (1),https://www.colliervotes.gov
Columbia,Edited,1 of 5,1 of 5 pages changed. It moved dates or countdowns.,Date / countdown change (1),https://www.votecolumbiafl.gov
DeSoto,Edited,2 of 5,"2 of 5 pages changed. It updated registration figures, updated its party-registration breakdown and changed early-voting information. Figure moved: Total: 15,886 → Total: 15,906 (+20).",Early voting (5) · Date / countdown change (4) · Voter registration numbers (2) · Party / registration breakdown (2) · Canvassing board (2) · Next-election pivot (1),https://votedesotofl.gov/
Duval,Edited,5 of 5,"5 of 5 pages changed, mostly retiring material. It reported turnout, changed early-voting information and updated election-day and polling-place info.",Navigation / menu labels (16) · Date / countdown change (14) · Vote-by-mail / drop box (6) · Sample ballot / candidates (5) · Alert / notice banner (3) · Early voting (3) · Turnout / ballots cast (1) · Election day / polling place (1),https://www.duvalelections.gov
Escambia,Edited,4 of 4,"4 of 4 pages changed, mostly publishing new material. It posted election results, updated precinct reporting and reported turnout.",Date / countdown change (70) · Navigation / menu labels (69) · Sample ballot / candidates (62) · Next-election pivot (43) · Turnout / ballots cast (28) · Election day / polling place (26) · Early voting (25) · Vote-by-mail / drop box (25) · Results posted (24) · Precincts reporting (16) · Alert / notice banner (11) · Poll worker / staffing (8) · Provisional / cure (1),https://escambiavotes.gov
Flagler,Edited,3 of 5,"3 of 5 pages changed. It posted election results, reported turnout and changed early-voting information.",Vote-by-mail / drop box (22) · Early voting (20) · Election day / polling place (10) · Date / countdown change (7) · Results posted (5) · Turnout / ballots cast (3) · Alert / notice banner (1) · Provisional / cure (1) · Sample ballot / candidates (1),https://www.flaglerelections.gov/Home
Gilchrist,Edited,1 of 5,1 of 5 pages changed. It posted canvassing-board or logic-and-accuracy notices.,Canvassing board (2),https://www.votegilchrist.com
Glades,Edited,1 of 5,"1 of 5 pages changed. It reported turnout, updated registration figures and updated its party-registration breakdown. Figure moved: Total: 6,778 → Total: 6,783 (+5).",Date / countdown change (8) · Early voting (6) · Voter registration numbers (2) · Party / registration breakdown (2) · Turnout / ballots cast (1) · Vote-by-mail / drop box (1),https://voteglades.gov/
Gulf,Edited,1 of 5,"1 of 5 pages changed. It reported turnout, changed early-voting information and updated election-day and polling-place info. Reported: ""EARLY VOTING has ended with 1,615 votes cast and 530 Vote By Mail ballots received. Visit""",Date / countdown change (4) · Turnout / ballots cast (3) · Early voting (2) · Vote-by-mail / drop box (2) · Election day / polling place (1),https://votegulf.gov/
